id,Kode_Provinsi,Provinsi,Kabupaten_Kota,Jenis_Budidaya_Rumput_Laut,Tahun,Volume_Produksi_Kg,Nilai_Produksi_Rp
172.,33.,JAWA TENGAH,BREBES,RUMPUT LAUT GRACILARIA,2020.,55428502.,55428502000.
173.,33.,JAWA TENGAH,JEPARA,RUMPUT LAUT SPINOSUM,2020.,23663604.,42594487200.
174.,33.,JAWA TENGAH,KOTA TEGAL,RUMPUT LAUT GRACILARIA,2020.,160730.,723285000.
175.,35.,JAWA TIMUR,BANYUWANGI,RUMPUT LAUT COTTONII,2020.,3903000.,8586600000.
176.,35.,JAWA TIMUR,PACITAN,RUMPUT LAUT SPINOSUM,2020.,155330.,776650000.
177.,35.,JAWA TIMUR,PAMEKASAN,RUMPUT LAUT COTTONII,2020.,9600.,28800000.
178.,35.,JAWA TIMUR,SITUBONDO,RUMPUT LAUT COTTONII,2020.,198695.,422971500.
179.,35.,JAWA TIMUR,SUMENEP,RUMPUT LAUT COTTONII,2020.,683425380.,2575607170000.
180.,61.,KALIMANTAN BARAT,BENGKAYANG,RUMPUT LAUT SARGASSUM,2020.,44000.,528000000.
181.,61.,KALIMANTAN BARAT,BENGKAYANG,RUMPUT LAUT SPINOSUM,2020.,49100.,245500000.
182.,64.,KALIMANTAN TIMUR,KOTA BALIKPAPAN,RUMPUT LAUT COTTONII,2020.,77800.,311200000.
183.,64.,KALIMANTAN TIMUR,KOTA BONTANG,RUMPUT LAUT GRACILARIA,2020.,2143150.,4286300000.
184.,64.,KALIMANTAN TIMUR,KOTA BONTANG,RUMPUT LAUT SPINOSUM,2020.,1940000.,3880000000.
185.,64.,KALIMANTAN TIMUR,KUTAI KARTANEGARA,RUMPUT LAUT SPINOSUM,2020.,823716.,3883257000.
186.,64.,KALIMANTAN TIMUR,KUTAI TIMUR,RUMPUT LAUT SPINOSUM,2020.,37260.,173490000.
187.,64.,KALIMANTAN TIMUR,PASER,RUMPUT LAUT SPINOSUM,2020.,36405.,109215000.
188.,65.,KALIMANTAN UTARA,KOTA TARAKAN,RUMPUT LAUT COTTONII,2020.,185491704.,501169624000.
189.,65.,KALIMANTAN UTARA,NUNUKAN,RUMPUT LAUT COTTONII,2020.,337765860.,422207325000.
